1.8307,43.729,42.88,27.582,19.918
1.9179,38.639,37.871,24.342,17.605
2.0092,34.142,33.448,21.482,15.561
2.1049,30.168,29.541,18.958,13.754
2.2051,26.656,26.09,16.731,12.157
2.3101,23.525,23.019,14.749,10.735
2.4201,20.749,20.299,12.995,9.4763
2.5354,18.301,17.901,11.45,8.3647
2.6561,16.142,15.786,10.088,7.3835
2.7826,14.237,13.92,8.8885,6.5173
2.9151,12.527,12.257,7.8225,5.7468
3.0539,11.012,10.786,6.8814,5.0655
3.1993,9.6803,9.4914,6.0534,4.4648
3.3516,8.5095,8.3522,5.3251,3.9354
3.5112,7.4803,7.3497,4.6844,3.4687
3.6784,6.5842,6.4668,4.1154,3.0536
3.8535,5.7977,5.6897,3.6142,2.6872
4.037,5.105,5.0059,3.1741,2.3647
4.2292,4.4951,4.4043,2.7875,2.0809
4.4306,3.958,3.8749,2.448,1.8312
4.6416,3.4821,3.4058,2.1468,1.6091
4.8626,3.0629,2.9929,1.882,1.4135
5.0941,2.6941,2.6299,1.6499,1.2417
5.3367,2.3697,2.311,1.4464,1.0908
5.5908,2.0843,2.0308,1.268,0.95815
5.857,1.8318,1.7827,1.11,0.84033
6.1359,1.6097,1.5647,0.97139,0.73682
6.4281,1.4145,1.3733,0.85012,0.64605
6.7342,1.243,1.2054,0.74398,0.56645
7.0548,1.0923,1.058,0.6511,0.49666
7.3907,0.95906,0.92761,0.56888,0.43466
7.7426,0.84205,0.81325,0.49698,0.38033
8.1113,0.73931,0.71298,0.43416,0.33279
8.4975,0.64909,0.62507,0.37928,0.29119
8.9022,0.56988,0.54799,0.33134,0.25479
9.326,0.49995,0.47993,0.28893,0.22246
9.7701,0.43859,0.42031,0.25194,0.19421
10.235,0.38475,0.36809,0.21969,0.16955
10.723,0.33752,0.32236,0.19156,0.14802
11.233,0.29608,0.2823,0.16703,0.12922
11.768,0.25953,0.24701,0.14537,0.11256
12.328,0.2275,0.21612,0.12653,0.098042
12.915,0.19942,0.1891,0.11013,0.085398
13.53,0.1748,0.16546,0.09585,0.074384
14.175,0.15321,0.14476,0.083413,0.06478
14.85,0.13421,0.12656,0.072468,0.056302
15.557,0.11756,0.11066,0.06296,0.048934
16.298,0.10298,0.096747,0.054699,0.04253
17.074,0.090205,0.084586,0.047522,0.036964
17.886,0.07901,0.073948,0.041277,0.032118
18.738,0.069175,0.064613,0.035797,0.027857
19.63,0.060564,0.056457,0.031044,0.024162
20.565,0.053025,0.04933,0.026922,0.020957
21.544,0.046424,0.043102,0.023347,0.018177
22.57,0.040642,0.037658,0.020241,0.015761
23.645,0.035571,0.032887,0.017522,0.013644
24.771,0.031133,0.028721,0.015168,0.011811
25.95,0.027248,0.025082,0.013131,0.010225
27.186,0.023848,0.021905,0.011367,0.0088518
28.48,0.020871,0.019128,0.0098358,0.0076598
29.836,0.018263,0.016697,0.008499,0.006619
31.257,0.01598,0.014575,0.0073439,0.0057195
32.745,0.013982,0.012723,0.0063459,0.0049424
34.305,0.012235,0.011106,0.0054835,0.0042708
35.938,0.010705,0.0096938,0.0047358,0.0036886
37.649,0.009364,0.0084581,0.0040844,0.0031816
39.442,0.0081914,0.0073799,0.0035227,0.0027443
41.32,0.0071655,0.0064392,0.0030382,0.0023671
43.288,0.0062681,0.0056183,0.0026203,0.0020417
45.349,0.0054825,0.0049012,0.0022585,0.00176
47.508,0.004794,0.0042739,0.0019439,0.0015152
49.77,0.004192,0.0037269,0.0016732,0.0013045
52.14,0.0036656,0.0032499,0.0014401,0.0011231
54.623,0.0032053,0.002834,0.0012396,0.00096691
